Pulse Number,Pulse Amplitude,Average Voltage (V),Average Current (A),Rmax (Ohms),Rmin (Ohms)
186,0.0186,0.767928425,0.01860042,41.28554221,34.1493877
187,0.0187,0.7739326,0.0187000325,41.38669812,34.14981075
188,0.0188,0.780038275,0.01880019,41.49097828,34.15225503
189,0.0189,0.78618635,0.018900385,41.59631404,34.15311935
190,0.019,0.79237715,0.019000335,41.70332523,34.1521928
191,0.0191,0.798596975,0.01910009,41.81116293,34.15475378
192,0.0192,0.804880475,0.0192000825,41.92067795,34.15408201
193,0.0193,0.811223,0.01930019,42.03186601,34.15626827
194,0.0194,0.81762905,0.019400265,42.14525162,34.15649128
195,0.0195,0.824069175,0.01950038,42.25913418,34.15563609
196,0.0196,0.8305458,0.0196000025,42.37478031,34.15844145
197,0.0197,0.83709845,0.0197001175,42.49205366,34.15842475
198,0.0198,0.843720825,0.019800355,42.61139889,34.16001151
199,0.0199,0.8503795,0.0199004775,42.73161285,34.16134692
200,0.02,0.857057575,0.0200001725,42.85250915,34.16107126
201,0.0201,0.8638458,0.02010017,42.9770395,34.16366974
202,0.0202,0.87071375,0.0202004725,43.10363285,34.16399128
203,0.0203,0.87762475,0.0203003975,43.23189977,34.16297325
204,0.0204,0.884571775,0.0204000675,43.36121804,34.16549625
205,0.0205,0.8916102,0.0205001375,43.49288877,34.16581185
206,0.0206,0.898745275,0.0206004125,43.6275378,34.16618298
207,0.0207,0.905927475,0.020700375,43.7638195,34.16778627
208,0.0208,0.91316075,0.0208004275,43.90105684,34.16964888
209,0.0209,0.9204652,0.020900135,44.04111265,34.16957614
210,0.021,0.927850375,0.021000145,44.18304612,34.17079847
211,0.0211,0.935326675,0.0211003375,44.3275694,34.17252072
212,0.0212,0.9428772,0.0212003725,44.47455817,34.17284965
213,0.0213,0.95047705,0.0213000675,44.62319427,34.17373397
214,0.0214,0.958193875,0.0214001425,44.77511657,34.17491622
215,0.0215,0.966004425,0.0215004425,44.92951366,34.17631252
216,0.0216,0.97387485,0.0216004225,45.08591672,34.17722683
217,0.0217,0.98182035,0.0217001775,45.24480733,34.17712139
218,0.0218,0.9898906,0.0218001725,45.40746639,34.17993143
219,0.0219,0.998051275,0.02190047,45.57213955,34.17805279
220,0.022,1.006301975,0.0220005525,45.73985017,34.18147535
221,0.0221,1.01465275,0.022100665,45.91050767,34.1810622
222,0.0222,1.02306225,0.0222002525,46.08336099,34.18070585
223,0.0223,1.031615,0.0223003125,46.26011407,34.18446853
224,0.0224,1.040291,0.0224003675,46.44080058,34.18382992
225,0.0225,1.04904575,0.0225003325,46.62356656,34.18519148
226,0.0226,1.057895,0.02260001,46.80949256,34.18746802
227,0.0227,1.0669035,0.02270006,47.00002996,34.18903998
228,0.0228,1.07605025,0.0228003,47.19456542,34.18978997
229,0.0229,1.08531575,0.0229004125,47.39284718,34.18915585
230,0.023,1.0946635,0.0230000625,47.59393589,34.19137792
231,0.0231,1.10420825,0.0231001675,47.80087634,34.19225783
232,0.0232,1.113879,0.023200275,48.01145676,34.1952898
233,0.0233,1.123682,0.0233002875,48.22610021,34.19444678
234,0.0234,1.13362975,0.0233999775,48.44576239,34.19807354
235,0.0235,1.1437575,0.0235001275,48.67026785,34.19815272
236,0.0236,1.15405925,0.0236001775,48.90044789,34.19947139
237,0.0237,1.16452275,0.023700335,49.13528648,34.19801098
238,0.0238,1.175097,0.0238003475,49.37310264,34.20078539
239,0.0239,1.18584875,0.02390003,49.61704023,34.20345193
240,0.024,1.196848,0.02400009,49.86847966,34.20555656
241,0.0241,1.208076,0.024100165,50.12729166,34.20443128
242,0.0242,1.21952225,0.02420028,50.39289835,34.20737285
243,0.0243,1.231123,0.0242999375,50.66362825,34.21007936
244,0.0244,1.2429805,0.0244,50.94182377,34.21143231
245,0.0245,1.2550795,0.024500165,51.22738969,34.21300746
246,0.0246,1.2673095,0.0246001975,51.51623275,34.21377357
247,0.0247,1.27956225,0.0246998725,51.80440709,34.21588659
248,0.0248,1.291904,0.0247999575,52.0929925,34.21955935
249,0.0249,1.30420175,0.0249004825,52.37656539,34.21936662
250,0.025,1.31632175,0.025000415,52.65199598,34.22177359
251,0.0251,1.328281,0.0251004675,52.91857612,34.22350042
252,0.0252,1.34012175,0.02520006,53.17930791,34.22655806
253,0.0253,1.351988,0.0253002025,53.43783316,34.22797104
254,0.0254,1.3637435,0.025400285,53.69008655,34.22997415
255,0.0255,1.37544675,0.025500325,53.93840079,34.23393907
256,0.0256,1.38700125,0.0255999375,54.1798686,34.23481692
257,0.0257,1.39859725,0.0257000375,54.42004705,34.23780977
258,0.0258,1.41015825,0.025800205,54.65686222,34.24226216
259,0.0259,1.4215985,0.0259001775,54.88759681,34.24563983
260,0.026,1.4329685,0.0259999375,55.11430556,34.24748304
261,0.0261,1.4443425,0.0260998925,55.33902103,34.25250596
262,0.0262,1.45574775,0.026200185,55.56249889,34.25783531
263,0.0263,1.4671035,0.0263001275,55.78313261,34.26291137
264,0.0264,1.478422,0.02639996,56.00091818,34.26814794
265,0.0265,1.4897985,0.0264999175,56.21898634,34.27489187
266,0.0266,1.501223,0.0266000675,56.43681167,34.28362144
267,0.0267,1.512691,0.026700125,56.65482839,34.29102252
268,0.0268,1.52423225,0.0268002375,56.87383367,34.30152017
269,0.0269,1.5357825,0.02689988,57.09254093,34.3157472
270,0.027,1.54749775,0.02699994,57.31485885,34.32738545
271,0.0271,1.55946375,0.0271002675,57.54421981,34.3449444
272,0.0272,1.571468,0.0272002625,57.77400126,34.36752935
273,0.0273,1.583656,0.02729991,58.00956853,34.39215747
274,0.0274,1.596046,0.027399975,58.24990716,34.42188906
275,0.0275,1.6088575,0.02750015,58.50358998,34.45805335
276,0.0276,1.62195925,0.0276001025,58.76642125,34.49612529
277,0.0277,1.635475,0.0276996975,59.04306356,34.54446951
278,0.0278,1.6493585,0.0277997575,59.32995998,34.60374685
279,0.0279,1.66389625,0.0279003775,59.63705151,34.67377467
280,0.028,1.678968,0.028000085,59.96296083,34.75601646
281,0.0281,1.694806,0.0281004775,60.3123559,34.84878198
282,0.0282,1.71101275,0.0281998,60.67464131,34.95662172
283,0.0283,1.728716,0.0282998625,61.08566782,35.08281246
284,0.0284,1.74745525,0.0284002,61.52968113,35.2179327
285,0.0285,1.7670165,0.02850019,62.00016561,35.35856536
286,0.0286,1.7875235,0.0285999525,62.50092548,35.50184677
287,0.0287,1.8091735,0.028699925,63.03756891,35.62801331
288,0.0288,1.83289,0.02880011,63.64177081,35.73336667
